id,focus,signal,slack,drag,confidence,score,lane
l001,diagnostic quality,35,33,6,25,158,ship
l002,review cost,35,34,6,55,219,ship
l003,safe rewrite,35,35,6,85,280,ship
l004,change width,35,36,18,25,101,hold
l005,diagnostic quality,35,37,18,55,162,ship
l006,review cost,35,38,18,85,223,ship
l007,safe rewrite,35,39,34,25,24,hold
l008,change width,35,40,34,55,85,hold
l009,diagnostic quality,35,41,34,85,146,watch
l010,review cost,60,42,6,25,242,ship
l011,safe rewrite,60,43,6,55,303,ship
l012,change width,60,44,6,85,364,ship
l013,diagnostic quality,60,45,18,25,185,ship
l014,review cost,60,46,18,55,246,ship
l015,safe rewrite,60,47,18,85,307,ship
l016,change width,60,48,34,25,108,watch
l017,diagnostic quality,60,32,34,55,152,watch
l018,review cost,60,33,34,85,213,ship
l019,safe rewrite,85,34,6,25,309,ship
l020,change width,85,35,6,55,370,ship
l021,diagnostic quality,85,36,6,85,431,ship
l022,review cost,85,37,18,25,252,ship
l023,safe rewrite,85,38,18,55,313,ship
l024,change width,85,39,18,85,374,ship
l025,diagnostic quality,85,40,34,25,175,ship
l026,review cost,85,41,34,55,236,ship
l027,safe rewrite,85,42,34,85,297,ship
